                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3199,                 1.5367,                 1.4548,                0.64498,                 0.5049,                0.56631,                0.37351,                 1.3015,                 1.3333,                 1.4176,               0.006634,               0.006634,               0.006634
                     36,                 1.3091,                  1.522,                 1.4441,                0.64067,                0.50505,                0.56751,                0.37396,                 1.2972,                 1.3307,                 1.4169,               0.006535,               0.006535,               0.006535
                     37,                 1.3031,                 1.5036,                  1.436,                0.63861,                0.51639,                0.57199,                0.38022,                 1.2961,                 1.3193,                 1.4104,               0.006436,               0.006436,               0.006436
                     38,                 1.3059,                 1.5145,                 1.4446,                0.64411,                0.51504,                0.57466,                0.37995,                 1.2909,                 1.3159,                 1.4068,               0.006337,               0.006337,               0.006337
                     39,                 1.2951,                 1.4979,                 1.4355,                0.65138,                0.51401,                0.57632,                0.38186,                 1.2917,                  1.307,                 1.4097,               0.006238,               0.006238,               0.006238
                     40,                 1.2994,                  1.497,                 1.4371,                0.64983,                0.51052,                 0.5791,                0.38569,                 1.2843,                 1.3023,                 1.4022,               0.006139,               0.006139,               0.006139
                     41,                 1.2846,                 1.4689,                 1.4194,                0.66746,                0.50875,                 0.5809,                0.38786,                 1.2805,                 1.3017,                 1.3959,                0.00604,                0.00604,                0.00604
                     42,                 1.2827,                 1.4698,                 1.4166,                0.66554,                0.51021,                0.58406,                0.38958,                 1.2751,                 1.2886,                 1.3919,               0.005941,               0.005941,               0.005941
                     43,                 1.2794,                 1.4735,                 1.4194,                0.66119,                0.51271,                 0.5843,                0.39098,                 1.2711,                 1.2825,                 1.3853,               0.005842,               0.005842,               0.005842
                     44,                 1.2725,                 1.4566,                 1.4126,                 0.6694,                0.51457,                0.58673,                0.39225,                 1.2702,                 1.2741,                 1.3861,               0.005743,               0.005743,               0.005743
                     45,                 1.2734,                  1.459,                 1.4141,                0.65342,                0.52367,                0.58828,                0.39286,                 1.2687,                 1.2676,                 1.3839,               0.005644,               0.005644,               0.005644
                     46,                 1.2691,                 1.4487,                 1.4066,                0.67346,                0.51931,                0.59304,                0.39614,                 1.2669,                 1.2623,                 1.3831,               0.005545,               0.005545,               0.005545
                     47,                 1.2698,                 1.4478,                 1.4106,                0.66332,                0.52308,                0.59186,                0.39689,                 1.2587,                 1.2622,                 1.3789,               0.005446,               0.005446,               0.005446
                     48,                 1.2622,                 1.4334,                 1.3987,                0.66815,                0.52076,                0.59336,                0.39811,                 1.2577,                 1.2591,                 1.3749,               0.005347,               0.005347,               0.005347
