                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9157,                 2.8477,                 3.6097,                0.38623,                0.48108,                0.36074,                0.15888,                  2.294,                 3.2612,                 3.2376,               0.000663,               0.000663,               0.000663
                      2,                 2.1597,                 1.9104,                 2.6146,                0.84633,                0.66155,                0.77407,                0.36993,                 1.9894,                 2.2279,                 2.7154,              0.0013165,              0.0013165,              0.0013165
                      3,                 1.8041,                 1.5294,                 2.2349,                0.92284,                0.72613,                0.82947,                0.45806,                 1.7253,                 1.7968,                  2.408,              0.0019568,              0.0019568,              0.0019568
                      4,                 1.6224,                 1.2987,                 2.0501,                0.91679,                0.78079,                0.88625,                0.54361,                 1.5207,                 1.6297,                 2.1709,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.5043,                 1.1866,                 1.9317,                0.93064,                0.77598,                0.90395,                0.63073,                 1.3806,                  1.371,                 2.0365,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.4036,                 1.0749,                 1.8261,                0.94815,                0.84559,                0.93163,                 0.6484,                 1.3961,                 1.2199,                 2.0027,               0.001901,               0.001901,               0.001901
                      7,                 1.3284,                 1.0107,                 1.7642,                0.94677,                0.84264,                0.93533,                0.66415,                 1.2587,                 1.1039,                 1.8944,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.2895,                0.96556,                 1.7287,                0.94213,                0.87207,                0.94929,                0.68002,                 1.2431,                 1.0264,                 1.8605,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.2142,                0.89482,                 1.6474,                0.95357,                0.86366,                0.94251,                0.70505,                 1.2001,                 1.0398,                 1.8226,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.1803,                0.87113,                 1.6248,                0.92532,                0.89309,                 0.9505,                0.71922,                 1.1434,                0.92759,                  1.751,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.1428,                0.84091,                  1.588,                 0.9405,                0.89236,                0.96036,                0.72704,                 1.1163,                0.86225,                  1.716,               0.001802,               0.001802,               0.001802
                     12,                 1.1057,                0.78879,                  1.552,                0.95787,                  0.915,                0.96838,                0.75622,                 1.0419,                0.76252,                 1.6172,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.0711,                0.74774,                 1.5181,                0.95561,                0.91171,                0.97329,                0.72759,                  1.089,                0.78637,                 1.6613,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.0633,                0.74652,                 1.5045,                0.97011,                0.91606,                0.96987,                0.75451,                 1.0556,                0.77852,                 1.6201,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.0416,                0.72039,                 1.4874,                0.96633,                0.92673,                0.97662,                 0.7614,                0.99028,                0.71025,                 1.5687,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.0163,                 0.7043,                 1.4685,                0.95466,                0.92315,                 0.9752,                0.76518,                 0.9897,                0.72847,                 1.5881,               0.001703,               0.001703,               0.001703
                     17,                 1.0093,                0.69311,                 1.4531,                0.97692,                0.91351,                0.97768,                0.77948,                0.95787,                0.68463,                 1.5484,              0.0016832,              0.0016832,              0.0016832
                     18,                0.98923,                0.68495,                 1.4416,                0.96536,                0.93453,                0.98225,                0.78346,                0.94193,                0.66644,                 1.5407,              0.0016634,              0.0016634,              0.0016634
                     19,                0.96284,                0.66173,                 1.4233,                0.97075,                0.93697,                0.98177,                0.79208,                 0.9319,                0.64783,                 1.5233,              0.0016436,              0.0016436,              0.0016436
                     20,                0.96739,                0.66192,                  1.426,                 0.9695,                0.93548,                0.97876,                0.78558,                0.94487,                0.63291,                 1.5316,              0.0016238,              0.0016238,              0.0016238
                     21,                0.94022,                0.63889,                    1.4,                0.97366,                0.93236,                0.98194,                0.79108,                0.93061,                0.64156,                 1.5045,               0.001604,               0.001604,               0.001604
                     22,                0.94625,                0.63636,                 1.4002,                 0.9689,                0.94414,                0.98454,                 0.8033,                0.88793,                0.60949,                  1.471,              0.0015842,              0.0015842,              0.0015842
                     23,                0.91872,                0.61539,                 1.3794,                0.96635,                0.94872,                0.98662,                0.80535,                0.88213,                0.59314,                 1.4608,              0.0015644,              0.0015644,              0.0015644
                     24,                0.91093,                0.60667,                 1.3702,                0.97762,                0.94466,                0.98747,                0.80355,                0.92201,                0.59714,                 1.5105,              0.0015446,              0.0015446,              0.0015446
                     25,                0.90986,                0.59938,                  1.367,                0.96394,                0.94715,                0.98508,                0.79953,                0.87275,                0.58944,                 1.4424,              0.0015248,              0.0015248,              0.0015248
                     26,                0.88786,                0.58614,                 1.3517,                0.97375,                0.95616,                0.98625,                0.81127,                0.83486,                0.54151,                  1.398,               0.001505,               0.001505,               0.001505
                     27,                0.88747,                0.57962,                  1.344,                0.96875,                0.94961,                0.98492,                0.80482,                0.85029,                0.59568,                 1.4217,              0.0014852,              0.0014852,              0.0014852
                     28,                0.87492,                0.57391,                 1.3406,                0.96843,                0.95796,                0.98877,                0.82632,                0.83033,                0.51142,                 1.3997,              0.0014654,              0.0014654,              0.0014654
                     29,                0.86747,                0.57049,                 1.3333,                0.98156,                0.95922,                0.98878,                0.82178,                 0.8176,                0.49722,                 1.3762,              0.0014456,              0.0014456,              0.0014456
                     30,                0.84904,                0.55714,                 1.3072,                0.98144,                0.95278,                0.98976,                  0.824,                0.81677,                0.49114,                 1.3708,              0.0014258,              0.0014258,              0.0014258
                     31,                0.84655,                0.55005,                 1.3137,                0.97898,                0.95435,                0.98856,                 0.8312,                0.80396,                0.49082,                  1.361,               0.001406,               0.001406,               0.001406
                     32,                0.83425,                0.54049,                 1.3055,                0.98307,                0.95495,                0.98857,                0.82818,                0.80329,                0.49081,                 1.3551,              0.0013862,              0.0013862,              0.0013862
                     33,                0.83874,                0.53999,                 1.2986,                0.98865,                0.95976,                0.99201,                 0.8297,                0.80541,                0.47826,                 1.3529,              0.0013664,              0.0013664,              0.0013664
                     34,                0.81883,                0.52395,                 1.2847,                0.97562,                0.95495,                0.98904,                0.81655,                0.81655,                0.48867,                 1.3456,              0.0013466,              0.0013466,              0.0013466
                     35,                0.82033,                0.52373,                 1.2816,                0.98075,                0.95796,                0.98986,                0.83132,                0.78073,                 0.4834,                 1.3316,              0.0013268,              0.0013268,              0.0013268
                     36,                0.82122,                0.52331,                 1.2884,                0.97823,                0.97142,                0.99083,                 0.8429,                 0.7545,                0.46248,                 1.3172,               0.001307,               0.001307,               0.001307
                     37,                 0.8139,                0.51742,                 1.2789,                0.98285,                0.96375,                0.99176,                0.83783,                0.75797,                0.45366,                 1.3178,              0.0012872,              0.0012872,              0.0012872
                     38,                 0.7933,                0.50512,                 1.2543,                0.98533,                0.96276,                0.99226,                0.84214,                0.75513,                0.44458,                 1.2895,              0.0012674,              0.0012674,              0.0012674
                     39,                0.79276,                0.49798,                 1.2562,                0.98766,                0.96148,                0.99122,                 0.8409,                0.75662,                0.45954,                 1.2945,              0.0012476,              0.0012476,              0.0012476
                     40,                0.79517,                0.50378,                 1.2588,                0.98653,                0.96804,                0.99321,                0.85062,                0.73006,                0.43003,                  1.275,              0.0012278,              0.0012278,              0.0012278
                     41,                0.77511,                0.48889,                 1.2418,                0.98562,                0.96456,                0.99136,                0.84115,                0.73695,                0.44213,                 1.2826,               0.001208,               0.001208,               0.001208
                     42,                0.79192,                 0.4921,                 1.2554,                0.98176,                0.96955,                0.99183,                0.84774,                0.72985,                0.44472,                 1.2741,              0.0011882,              0.0011882,              0.0011882
                     43,                0.76975,                0.48624,                 1.2333,                0.98651,                0.96647,                0.99304,                0.85595,                0.71035,                0.42325,                 1.2477,              0.0011684,              0.0011684,              0.0011684
                     44,                0.76739,                0.48244,                 1.2378,                0.98477,                0.96997,                 0.9928,                0.85351,                 0.7171,                0.42583,                 1.2386,              0.0011486,              0.0011486,              0.0011486
                     45,                0.75761,                0.47823,                 1.2245,                0.98562,                0.96997,                0.99153,                0.85093,                0.72254,                 0.4197,                 1.2688,              0.0011288,              0.0011288,              0.0011288
                     46,                0.75148,                0.46969,                 1.2213,                0.99105,                0.96817,                0.99177,                0.86114,                0.71115,                0.40751,                 1.2469,               0.001109,               0.001109,               0.001109
                     47,                0.74966,                0.46802,                 1.2201,                0.98539,                0.96997,                0.99206,                0.85827,                0.69924,                0.39593,                 1.2361,              0.0010892,              0.0010892,              0.0010892
                     48,                0.73504,                0.45597,                 1.2046,                 0.9854,                0.97287,                0.99234,                0.85847,                 0.7023,                0.40611,                 1.2428,              0.0010694,              0.0010694,              0.0010694
                     49,                0.73791,                 0.4592,                  1.211,                0.98655,                0.96882,                0.99169,                0.85967,                 0.7013,                0.40254,                  1.255,              0.0010496,              0.0010496,              0.0010496
                     50,                0.73971,                0.46121,                 1.2166,                0.99085,                 0.9756,                0.99306,                0.86537,                0.67655,                0.38162,                 1.2321,              0.0010298,              0.0010298,              0.0010298
                     51,                 0.7337,                0.45728,                   1.21,                0.99157,                0.97117,                0.99246,                0.85916,                0.69541,                0.39775,                 1.2415,                0.00101,                0.00101,                0.00101
                     52,                0.72072,                0.44814,                 1.1956,                0.99025,                0.97564,                0.99306,                0.86535,                0.68087,                0.39159,                 1.2202,              0.0009902,              0.0009902,              0.0009902
                     53,                0.71022,                0.44169,                 1.1841,                0.99083,                0.97477,                0.99292,                0.86998,                0.67241,                0.37929,                 1.2078,              0.0009704,              0.0009704,              0.0009704
                     54,                0.71951,                0.44135,                 1.1923,                0.99021,                0.97179,                 0.9924,                0.86413,                0.67704,                0.38821,                 1.2115,              0.0009506,              0.0009506,              0.0009506
                     55,                0.71361,                 0.4415,                 1.1917,                0.99084,                  0.974,                0.99326,                0.87335,                0.65287,                0.37008,                 1.1969,              0.0009308,              0.0009308,              0.0009308
                     56,                0.70609,                0.44063,                 1.1822,                0.98935,                0.97778,                0.99225,                0.85999,                0.69074,                0.40124,                 1.2386,               0.000911,               0.000911,               0.000911
                     57,                0.69636,                0.42988,                  1.178,                 0.9876,                0.97538,                0.99321,                0.87283,                0.66355,                0.36852,                 1.1994,              0.0008912,              0.0008912,              0.0008912
                     58,                0.70756,                0.43076,                 1.1801,                 0.9889,                0.98078,                0.99395,                0.87616,                0.65115,                0.36403,                 1.1863,              0.0008714,              0.0008714,              0.0008714
                     59,                0.69113,                0.42633,                 1.1682,                0.99129,                0.97538,                0.99402,                 0.8651,                0.66513,                0.37423,                 1.1948,              0.0008516,              0.0008516,              0.0008516
                     60,                0.70253,                0.43049,                 1.1807,                0.99266,                0.97424,                0.99377,                0.87283,                 0.6377,                0.36345,                 1.1797,              0.0008318,              0.0008318,              0.0008318
                     61,                0.69312,                0.42705,                 1.1664,                0.98786,                0.97741,                0.99323,                0.87242,                0.65319,                 0.3684,                 1.1851,               0.000812,               0.000812,               0.000812
                     62,                0.68393,                0.41757,                 1.1598,                0.98491,                0.98019,                0.99392,                0.87267,                0.64902,                0.35938,                 1.1759,              0.0007922,              0.0007922,              0.0007922
                     63,                0.68542,                0.42109,                 1.1655,                0.99266,                0.97524,                0.99321,                0.88026,                0.62552,                0.35481,                 1.1578,              0.0007724,              0.0007724,              0.0007724
                     64,                0.67199,                0.41757,                  1.152,                0.98604,                0.98138,                0.99354,                 0.8787,                0.62038,                0.35067,                 1.1556,              0.0007526,              0.0007526,              0.0007526
                     65,                0.66998,                0.41234,                 1.1518,                0.98957,                0.98018,                0.99347,                0.88174,                0.62753,                 0.3534,                 1.1676,              0.0007328,              0.0007328,              0.0007328
                     66,                 0.6672,                0.41181,                 1.1492,                0.98453,                0.98318,                0.99375,                0.88297,                0.61509,                0.34741,                 1.1606,               0.000713,               0.000713,               0.000713
                     67,                0.66224,                0.40863,                  1.147,                0.99198,                0.98198,                0.99346,                0.88286,                0.61999,                0.34074,                 1.1667,              0.0006932,              0.0006932,              0.0006932
                     68,                  0.658,                0.40262,                 1.1486,                0.99275,                0.97838,                0.99376,                0.89106,                0.61346,                0.33592,                 1.1527,              0.0006734,              0.0006734,              0.0006734
                     69,                0.66703,                0.40896,                 1.1509,                0.99194,                0.98438,                0.99396,                0.89162,                0.60552,                0.33517,                 1.1478,              0.0006536,              0.0006536,              0.0006536
                     70,                0.66029,                0.40504,                 1.1415,                0.99028,                0.97864,                0.99348,                0.88358,                0.59488,                0.33614,                 1.1316,              0.0006338,              0.0006338,              0.0006338
                     71,                 0.6424,                0.39332,                 1.1292,                0.99094,                0.98509,                0.99373,                0.88794,                0.60183,                0.33155,                 1.1359,               0.000614,               0.000614,               0.000614
                     72,                0.65042,                0.39716,                 1.1384,                 0.9933,                0.97974,                0.99406,                0.88523,                0.60084,                0.33825,                 1.1442,              0.0005942,              0.0005942,              0.0005942
                     73,                0.64902,                0.39835,                 1.1378,                0.98973,                0.98426,                0.99393,                0.89241,                0.58251,                0.32945,                 1.1229,              0.0005744,              0.0005744,              0.0005744
                     74,                0.63455,                 0.3841,                 1.1186,                0.99072,                0.98078,                0.99339,                0.89211,                0.59129,                0.32867,                 1.1169,              0.0005546,              0.0005546,              0.0005546
                     75,                0.64538,                0.39234,                 1.1319,                0.99323,                0.98078,                0.99387,                 0.8928,                0.58683,                0.32498,                 1.1235,              0.0005348,              0.0005348,              0.0005348
                     76,                0.62834,                0.37946,                 1.1211,                0.99123,                0.98198,                0.99417,                0.89019,                0.59021,                 0.3232,                 1.1281,               0.000515,               0.000515,               0.000515
                     77,                 0.6262,                0.38259,                 1.1205,                0.99012,                0.98438,                0.99431,                0.89357,                0.57911,                0.32329,                 1.1186,              0.0004952,              0.0004952,              0.0004952
                     78,                0.62369,                0.37481,                 1.1135,                0.99218,                0.98198,                0.99423,                 0.9004,                0.56849,                0.31773,                 1.1062,              0.0004754,              0.0004754,              0.0004754
                     79,                0.62101,                 0.3769,                 1.1105,                0.98502,                0.98742,                0.99416,                0.89384,                0.57563,                0.32375,                  1.121,              0.0004556,              0.0004556,              0.0004556
                     80,                0.61678,                0.37436,                 1.1063,                0.99253,                0.98498,                0.99413,                0.89552,                0.57932,                0.31683,                 1.1222,              0.0004358,              0.0004358,              0.0004358
                     81,                0.61709,                0.37936,                 1.1152,                0.99336,                0.98378,                0.99391,                0.89465,                0.57094,                0.31761,                 1.1105,               0.000416,               0.000416,               0.000416
                     82,                0.60739,                0.36974,                 1.1063,                0.99094,                0.98524,                 0.9942,                0.90118,                0.57066,                0.31402,                 1.1062,              0.0003962,              0.0003962,              0.0003962
