                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.82701,                0.51712,                 1.2745,                0.97737,                0.95992,                0.99107,                0.83231,                 0.8024,                0.49814,                 1.3215,              0.0013268,              0.0013268,              0.0013268
                     36,                 0.8095,                0.50427,                 1.2555,                0.98406,                0.96386,                0.98881,                0.83615,                0.79048,                0.48972,                 1.3178,               0.001307,               0.001307,               0.001307
                     37,                0.79408,                0.50596,                 1.2471,                0.98172,                0.96757,                0.99255,                0.83032,                0.77179,                0.48575,                 1.2995,              0.0012872,              0.0012872,              0.0012872
                     38,                0.79038,                0.49245,                 1.2368,                0.97409,                0.96276,                0.99117,                0.80434,                0.83138,                 0.5088,                 1.3539,              0.0012674,              0.0012674,              0.0012674
                     39,                0.81292,                0.49617,                 1.2502,                0.98843,                0.97117,                0.99229,                0.83156,                0.77496,                0.46148,                 1.2885,              0.0012476,              0.0012476,              0.0012476
                     40,                0.79036,                0.49183,                 1.2406,                0.98177,                0.97056,                0.99288,                0.82324,                0.80758,                0.46152,                 1.3182,              0.0012278,              0.0012278,              0.0012278
                     41,                 0.7711,                0.48047,                 1.2239,                0.98123,                0.97306,                 0.9927,                0.84569,                0.74374,                0.44663,                 1.2688,               0.001208,               0.001208,               0.001208
                     42,                0.77096,                0.47403,                 1.2288,                0.99239,                0.96456,                0.99317,                 0.8469,                0.74117,                0.44386,                 1.2768,              0.0011882,              0.0011882,              0.0011882
                     43,                0.75731,                0.47033,                 1.2129,                0.98059,                0.97898,                0.99319,                0.85144,                 0.7168,                0.43069,                 1.2514,              0.0011684,              0.0011684,              0.0011684
                     44,                0.76398,                 0.4741,                 1.2226,                0.99044,                0.97177,                 0.9931,                0.85463,                0.70993,                0.41499,                 1.2287,              0.0011486,              0.0011486,              0.0011486
                     45,                0.75772,                 0.4662,                 1.2066,                 0.9872,                0.97247,                0.99364,                0.84478,                0.74228,                0.44105,                 1.2672,              0.0011288,              0.0011288,              0.0011288
                     46,                0.74736,                0.46723,                 1.2071,                0.98903,                0.97473,                0.99358,                0.85262,                0.70562,                0.42326,                 1.2304,               0.001109,               0.001109,               0.001109
                     47,                 0.7583,                0.46757,                 1.2114,                0.98402,                0.98138,                 0.9939,                0.83826,                0.74601,                 0.4227,                 1.2505,              0.0010892,              0.0010892,              0.0010892
                     48,                0.75135,                0.46607,                 1.2093,                0.98591,                0.97718,                0.99312,                0.85606,                0.69662,                0.40975,                 1.2243,              0.0010694,              0.0010694,              0.0010694
                     49,                0.74107,                0.45296,                 1.2013,                0.98899,                0.97116,                0.99256,                 0.8531,                0.70957,                0.42888,                 1.2259,              0.0010496,              0.0010496,              0.0010496
                     50,                0.74529,                0.46288,                 1.2044,                0.99082,                0.97838,                0.99402,                0.86078,                 0.6908,                0.40188,                 1.2117,              0.0010298,              0.0010298,              0.0010298
                     51,                0.72713,                0.44491,                 1.1899,                0.98792,                0.97658,                0.99349,                0.85936,                0.68263,                0.41762,                  1.212,                0.00101,                0.00101,                0.00101
                     52,                0.72006,                0.44442,                 1.1827,                0.98285,                0.97778,                0.99312,                0.85596,                0.69857,                0.39754,                 1.2103,              0.0009902,              0.0009902,              0.0009902
                     53,                0.71648,                0.43873,                  1.176,                0.98845,                0.97673,                0.99382,                0.86339,                0.67402,                0.39699,                 1.2024,              0.0009704,              0.0009704,              0.0009704
                     54,                0.71462,                0.43732,                 1.1707,                0.98608,                0.97841,                0.99379,                0.86307,                0.68826,                0.39482,                 1.1993,              0.0009506,              0.0009506,              0.0009506
                     55,                 0.7083,                0.43369,                 1.1709,                0.99062,                0.97778,                0.99318,                0.87245,                0.65876,                0.39346,                 1.1808,              0.0009308,              0.0009308,              0.0009308
                     56,                0.70414,                0.42913,                 1.1692,                0.98733,                0.98138,                0.99396,                 0.8658,                0.66708,                 0.3875,                 1.1861,               0.000911,               0.000911,               0.000911
                     57,                0.70087,                 0.4278,                 1.1617,                0.98616,                0.98447,                0.99334,                0.86831,                0.64868,                0.37652,                 1.1735,              0.0008912,              0.0008912,              0.0008912
                     58,                0.68265,                0.41825,                 1.1508,                0.99389,                0.97732,                0.99352,                0.87306,                0.65605,                0.37552,                 1.1781,              0.0008714,              0.0008714,              0.0008714
                     59,                0.68173,                 0.4159,                 1.1561,                0.99391,                0.98004,                0.99412,                0.87711,                0.64813,                0.37475,                 1.1753,              0.0008516,              0.0008516,              0.0008516
                     60,                0.68756,                0.41265,                 1.1534,                0.98432,                0.98034,                0.99394,                0.87669,                0.64549,                0.37746,                 1.1471,              0.0008318,              0.0008318,              0.0008318
                     61,                 0.6783,                0.41265,                 1.1447,                0.98549,                0.97898,                0.99347,                0.87628,                0.64127,                0.36959,                 1.1404,               0.000812,               0.000812,               0.000812
                     62,                   0.67,                0.40716,                 1.1349,                 0.9939,                 0.9785,                0.99358,                0.87289,                0.64786,                0.37653,                 1.1574,              0.0007922,              0.0007922,              0.0007922
                     63,                0.67085,                0.40994,                 1.1428,                0.99146,                0.97621,                0.99385,                0.87956,                0.62786,                0.36359,                 1.1458,              0.0007724,              0.0007724,              0.0007724
                     64,                0.66373,                0.40411,                  1.135,                0.98446,                0.98378,                0.99399,                0.87167,                0.63164,                0.37617,                 1.1473,              0.0007526,              0.0007526,              0.0007526
                     65,                0.66428,                0.40344,                 1.1374,                0.98816,                0.98498,                  0.994,                0.88449,                0.61102,                0.35278,                   1.13,              0.0007328,              0.0007328,              0.0007328
                     66,                0.67154,                0.40263,                 1.1401,                0.99211,                0.98184,                0.99384,                0.88522,                0.62459,                0.35529,                 1.1333,               0.000713,               0.000713,               0.000713
                     67,                0.65283,                0.39771,                 1.1311,                 0.9845,                0.98378,                 0.9936,                0.88343,                0.61331,                0.36283,                 1.1281,              0.0006932,              0.0006932,              0.0006932
                     68,                0.65318,                0.39538,                 1.1248,                0.98693,                0.98318,                0.99351,                0.88471,                0.61254,                0.37105,                 1.1326,              0.0006734,              0.0006734,              0.0006734
                     69,                0.64469,                 0.3984,                 1.1204,                0.99212,                0.98271,                0.99416,                0.88509,                0.61328,                0.34985,                 1.1236,              0.0006536,              0.0006536,              0.0006536
                     70,                0.65424,                0.39068,                 1.1288,                0.99214,                0.98554,                0.99391,                0.88904,                0.60564,                0.34636,                 1.1336,              0.0006338,              0.0006338,              0.0006338
                     71,                0.64131,                 0.3881,                 1.1196,                0.99088,                0.97917,                 0.9932,                0.88754,                0.59324,                0.34835,                 1.1101,               0.000614,               0.000614,               0.000614
                     72,                0.63503,                 0.3827,                 1.1089,                0.99131,                0.98799,                0.99439,                0.88954,                0.59762,                0.33496,                 1.1176,              0.0005942,              0.0005942,              0.0005942
                     73,                0.62244,                0.37519,                 1.1028,                0.99634,                0.98032,                0.99383,                0.89087,                0.58448,                0.33757,                 1.1023,              0.0005744,              0.0005744,              0.0005744
                     74,                0.62932,                  0.379,                 1.1073,                0.98678,                0.98658,                0.99364,                0.89143,                0.57851,                0.33972,                 1.0975,              0.0005546,              0.0005546,              0.0005546
                     75,                0.61835,                0.37406,                 1.0981,                0.98557,                0.98485,                0.99383,                0.89254,                0.58933,                 0.3416,                 1.1033,              0.0005348,              0.0005348,              0.0005348
                     76,                0.62009,                0.37676,                 1.0967,                0.99214,                0.98614,                0.99413,                0.89628,                0.58329,                 0.3332,                 1.1071,               0.000515,               0.000515,               0.000515
                     77,                0.62376,                 0.3734,                 1.1021,                 0.9888,                0.98438,                 0.9939,                0.89274,                0.59254,                0.33859,                 1.1042,              0.0004952,              0.0004952,              0.0004952
                     78,                0.62162,                0.37593,                 1.0989,                0.99211,                0.98214,                0.99405,                0.89833,                0.58654,                0.33881,                 1.1023,              0.0004754,              0.0004754,              0.0004754
                     79,                0.61337,                0.36809,                 1.0953,                0.99455,                0.98563,                0.99401,                0.89723,                0.56408,                0.32696,                 1.0797,              0.0004556,              0.0004556,              0.0004556
                     80,                0.60966,                0.36182,                   1.09,                0.99093,                0.98428,                0.99399,                0.89737,                0.57742,                0.33632,                 1.0963,              0.0004358,              0.0004358,              0.0004358
                     81,                0.60975,                0.36243,                 1.0898,                0.99304,                0.98198,                0.99397,                0.89754,                0.56565,                0.33315,                  1.084,               0.000416,               0.000416,               0.000416
                     82,                0.60587,                0.36716,                 1.0872,                0.99467,                0.98198,                0.99404,                0.89805,                0.56131,                0.32367,                 1.0802,              0.0003962,              0.0003962,              0.0003962
                     83,                0.59773,                 0.3611,                 1.0824,                0.98971,                0.98177,                0.99376,                0.89613,                0.56386,                0.32473,                 1.0829,              0.0003764,              0.0003764,              0.0003764
                     84,                0.59635,                0.36379,                 1.0848,                0.99091,                0.98211,                0.99399,                0.90085,                0.56073,                0.31914,                 1.0765,              0.0003566,              0.0003566,              0.0003566
                     85,                0.59184,                0.35427,                 1.0788,                0.99108,                0.98198,                0.99395,                0.90131,                0.56272,                0.32399,                 1.0761,              0.0003368,              0.0003368,              0.0003368
                     86,                0.59585,                0.35798,                 1.0846,                0.99153,                0.98435,                0.99404,                0.89996,                0.55452,                0.32939,                 1.0752,               0.000317,               0.000317,               0.000317
                     87,                0.58432,                0.35276,                 1.0762,                0.99155,                0.98635,                0.99397,                0.90625,                0.55515,                0.31704,                 1.0741,              0.0002972,              0.0002972,              0.0002972
                     88,                0.58492,                0.35121,                 1.0709,                0.99527,                0.98318,                0.99409,                0.90406,                0.55213,                0.31511,                 1.0684,              0.0002774,              0.0002774,              0.0002774
                     89,                0.57955,                 0.3505,                  1.074,                0.99393,                0.98329,                0.99413,                0.90594,                0.54634,                0.32165,                 1.0643,              0.0002576,              0.0002576,              0.0002576
                     90,                0.57761,                0.34805,                  1.074,                0.99454,                0.98372,                0.99408,                0.90979,                0.53429,                0.30888,                 1.0577,              0.0002378,              0.0002378,              0.0002378
                     91,                0.47025,                0.27016,                0.99081,                0.99393,                0.98368,                0.99396,                0.90863,                0.54671,                0.31221,                 1.0659,               0.000218,               0.000218,               0.000218
                     92,                0.46494,                0.26497,                0.99141,                0.99455,                0.98634,                0.99421,                0.90948,                0.53391,                0.30688,                 1.0636,              0.0001982,              0.0001982,              0.0001982
                     93,                0.45595,                0.26114,                0.97997,                0.99215,                0.98647,                0.99405,                0.91231,                0.53101,                0.30473,                 1.0559,              0.0001784,              0.0001784,              0.0001784
                     94,                0.45002,                0.25641,                 0.9791,                0.99321,                0.98438,                0.99403,                0.91145,                 0.5281,                0.29829,                 1.0572,              0.0001586,              0.0001586,              0.0001586
                     95,                0.44304,                0.25198,                0.97053,                0.99588,                0.98318,                0.99391,                0.91597,                0.52977,                0.30144,                 1.0594,              0.0001388,              0.0001388,              0.0001388
                     96,                0.43708,                  0.251,                0.97053,                0.99442,                0.98498,                0.99395,                0.91436,                0.52542,                0.29865,                 1.0486,               0.000119,               0.000119,               0.000119
                     97,                0.43995,                0.25282,                0.96733,                0.99574,                0.98338,                0.99401,                0.91561,                0.52906,                0.30169,                 1.0549,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.43394,                0.24759,                0.96456,                0.99551,                0.98378,                0.99407,                0.91655,                0.52521,                0.29816,                 1.0522,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.43391,                0.24612,                0.96229,                0.99454,                 0.9837,                0.99404,                0.91774,                0.51897,                0.29945,                  1.048,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.42641,                0.24475,                0.96337,                0.99393,                0.98401,                0.99408,                 0.9204,                0.51139,                0.29788,                 1.0415,               3.98e-05,               3.98e-05,               3.98e-05
